GeneName,FoldChange,Pvalue,Padj
insulin like growth factor 2 mRNA binding protein 2,7.457200434,1.12E-65,4.08E-63
serine carboxypeptidase 1,-3.434531749,1.58E-65,5.62E-63
solute carrier family 30 member 3,-9.600924759,5.75E-65,2.02E-62
CRACD like,-7.125209224,2.51E-64,8.66E-62
mex-3 RNA binding family member B,4.259048509,3.31E-64,1.12E-61
long intergenic non-protein coding RNA 461,3.595061361,7.38E-64,2.47E-61
regulator of G protein signaling 4,-9.8553938,1.20E-63,3.96E-61
coagulation factor II thrombin receptor,4.896733906,1.81E-63,5.86E-61
synuclein alpha interacting protein,3.845111242,4.63E-63,1.48E-60
angiotensinogen,-9.188668374,1.16E-62,3.65E-60
NA,6.733332088,1.77E-62,5.49E-60
periplakin,-5.7602102,3.52E-62,1.08E-59
protein kinase C and casein kinase substrate in neurons 1,-5.52099253,9.37E-62,2.83E-59
inositol-trisphosphate 3-kinase A,-6.439303371,1.57E-61,4.67E-59
synaptotagmin 12,-6.939455566,1.92E-61,5.64E-59
S100 calcium binding protein A1,-7.844327118,2.50E-61,7.25E-59
endothelial PAS domain protein 1,-2.851150567,2.77E-61,7.92E-59
CD24 molecule,5.810673631,2.86E-61,8.08E-59
huntingtin associated protein 1,-4.58144773,6.99E-61,1.95E-58
Cbl proto-oncogene B,3.718335761,1.61E-60,4.44E-58
cell division cycle associated 7,5.452812687,8.17E-60,2.22E-57
dishevelled binding antagonist of beta catenin 1,4.9650728,1.01E-59,2.70E-57
insulin like growth factor 2 mRNA binding protein 3,6.827773846,1.44E-59,3.82E-57
"troponin T2, cardiac type",-6.995166427,2.45E-59,6.41E-57
major facilitator superfamily domain containing 4A,-5.478035906,9.31E-59,2.41E-56
parvalbumin,-8.36381199,1.05E-58,2.67E-56
src kinase associated phosphoprotein 2,-4.436751535,1.06E-58,2.68E-56
"MYCN proto-oncogene, bHLH transcription factor",4.206514905,1.12E-57,2.79E-55
ermin,-9.876445089,1.36E-57,3.37E-55
potassium two pore domain channel subfamily K member 1,-5.088252122,1.56E-57,3.82E-55
ribonucleotide reductase regulatory subunit M2,7.949136349,1.72E-57,4.14E-55
receptor activity modifying protein 1,-5.838707286,1.99E-57,4.76E-55
von Willebrand factor A domain containing 5B2,-5.47990104,2.13E-57,5.04E-55
tetraspanin 2,3.892793738,1.84E-56,4.30E-54
SPARC like 1,-6.836838094,3.79E-56,8.75E-54
membrane palmitoylated protein 3,2.717297367,3.82E-56,8.75E-54
G protein-coupled receptor 37 like 1,-7.870590029,4.19E-56,9.50E-54
hedgehog acyltransferase like,-8.723653108,7.46E-56,1.67E-53
serine protease 3,-5.902080432,8.87E-56,1.97E-53
matrix metallopeptidase 11,4.493323273,1.36E-55,2.99E-53
"carboxypeptidase X, M14 family member 1",5.960627057,1.73E-55,3.77E-53
lactate dehydrogenase D,-4.809899484,7.70E-55,1.66E-52
signal transducer and activator of transcription 4,-4.820525801,8.55E-55,1.82E-52
"ETS proto-oncogene 2, transcription factor",-3.884641935,1.04E-54,2.20E-52
ATPase phospholipid transporting 10A (putative),-3.43338207,1.96E-54,4.09E-52
centromere protein F,5.447717441,6.43E-54,1.33E-51
potassium channel tetramerization domain containing 8,-4.355210259,7.66E-54,1.57E-51
leucine rich repeat LGI family member 3,-9.247864482,9.14E-54,1.85E-51
gamma-aminobutyric acid type A receptor subunit delta,-6.277371214,9.21E-54,1.85E-51
capping protein inhibiting regulator of actin dynamics,3.824155445,1.87E-53,3.73E-51
NA,4.84426298,2.82E-53,5.58E-51
osteoclast stimulating factor 1,-2.961017255,2.98E-53,5.83E-51
transient receptor potential cation channel subfamily M member 2,-4.662398129,3.64E-53,7.07E-51
proline rich 13,-2.179926706,4.11E-53,7.92E-51
chromobox 2,5.595094504,8.03E-53,1.53E-50
sodium voltage-gated channel beta subunit 2,-4.674094194,1.15E-52,2.17E-50
oligodendrocytic myelin paranodal and inner loop protein,-12.5490099,1.29E-52,2.43E-50
microtubule associated protein 1A,-4.040414822,1.49E-52,2.78E-50
small VCP interacting protein,-3.030249367,1.97E-52,3.62E-50
"signal peptide, CUB domain and EGF like domain containing 1",4.65680146,2.52E-52,4.61E-50
clusterin,-4.654915215,3.63E-52,6.58E-50
potassium voltage-gated channel subfamily A regulatory beta subunit 2,-4.651634132,4.22E-52,7.58E-50
neurogranin,-8.402413022,6.84E-52,1.22E-49
proteolipid protein 1,-9.199420849,7.75E-52,1.37E-49
synaptopodin,-5.87336604,8.86E-52,1.55E-49
tescalcin,-4.566210345,9.28E-52,1.61E-49
WEE1 G2 checkpoint kinase,5.290471484,1.53E-51,2.64E-49
small integral membrane protein 10 like 2B,-4.514593185,2.45E-51,4.20E-49
dachsous cadherin-related 1,3.487681121,3.36E-51,5.70E-49
SIN3-HDAC complex associated factor,4.846932845,3.53E-51,5.93E-49
CD22 molecule,-9.216626321,3.54E-51,5.93E-49
immunoglobulin superfamily DCC subclass member 3,3.586721995,6.47E-51,1.07E-48
carnosine dipeptidase 1,-8.278666422,7.06E-51,1.16E-48
SH2 domain containing 5,-6.716209406,7.76E-51,1.27E-48
transcription factor AP-2 gamma,5.754385542,1.18E-50,1.92E-48
erythrocyte membrane protein band 4.1,2.787278451,1.22E-50,1.97E-48
synaptosome associated protein 25,-4.274789611,1.64E-50,2.63E-48
spermatogenesis and oogenesis specific basic helix-loop-helix 1,-9.927178041,4.99E-50,7.91E-48
transmembrane protein 151A,-3.449095734,5.81E-50,9.15E-48
"long intergenic non-protein coding RNA, p53 induced transcript",-3.606491802,6.67E-50,1.04E-47
microtubule associated serine/threonine kinase 3,-3.958555698,8.26E-50,1.28E-47
aldehyde dehydrogenase 1 family member L1,-6.436278187,1.96E-49,3.02E-47
glutamic-oxaloacetic transaminase 1,-3.430771922,2.06E-49,3.15E-47
5'-nucleotidase domain containing 2,2.985148565,2.58E-49,3.93E-47
transmembrane protein 235,-8.280225042,3.03E-49,4.57E-47
ryanodine receptor 1,-3.186731302,3.92E-49,5.88E-47
protein phosphatase 1 regulatory subunit 16B,-3.509904229,4.27E-49,6.36E-47
jade family PHD finger 2,-3.902804754,5.53E-48,8.18E-46
F-box protein 2,-6.208743189,7.42E-48,1.09E-45
poly(A) binding protein cytoplasmic 1,2.408135862,9.73E-48,1.42E-45
GABA type A receptor associated protein like 1,-2.851079916,9.84E-48,1.43E-45
"lipase G, endothelial type",6.76370607,1.02E-47,1.46E-45
Y-box binding protein 1,3.345607789,1.60E-47,2.29E-45
BEN domain containing 3,3.524778604,1.67E-47,2.38E-45
chromobox 7,-3.994165264,2.05E-47,2.89E-45
tumor protein D52,-3.832366578,2.91E-47,4.08E-45
assembly factor for spindle microtubules,6.421911467,4.41E-47,6.14E-45
synaptotagmin 6,3.73869326,4.69E-47,6.49E-45
myelin associated oligodendrocyte basic protein,-9.410474874,8.90E-47,1.22E-44
F-box and leucine rich repeat protein 16,-4.277441721,1.11E-46,1.51E-44
myosin heavy chain 7B,-3.907349036,1.51E-46,2.05E-44
cytoskeleton associated protein 2 like,6.832625082,1.67E-46,2.25E-44
signal regulatory protein alpha,-4.546007587,1.68E-46,2.25E-44
BUB1 mitotic checkpoint serine/threonine kinase B,6.314535898,1.88E-46,2.51E-44
eukaryotic translation initiation factor 4E binding protein 1,3.916826894,1.98E-46,2.63E-44
complexin 1,-5.054243696,2.00E-46,2.63E-44
filamin binding LIM protein 1,3.413075512,2.45E-46,3.21E-44
Jupiter microtubule associated homolog 1,2.587471215,2.70E-46,3.52E-44
"major histocompatibility complex, class I-related",-4.420727869,3.33E-46,4.31E-44
DNA methyltransferase 3 beta,3.474496125,4.35E-46,5.60E-44
NYN domain and retroviral integrase containing,3.436857267,5.19E-46,6.64E-44
olfactomedin 1,-3.148427577,7.63E-46,9.70E-44
transmembrane protein 144,-8.765008887,1.18E-45,1.49E-43
transmembrane 131 like,3.425466998,2.28E-45,2.87E-43
"HLF transcription factor, PAR bZIP family member",-5.063063922,2.51E-45,3.14E-43
S100 calcium binding protein A6,-3.698083592,3.06E-45,3.80E-43
carnosine synthase 1,-8.369873756,3.14E-45,3.87E-43
kinetochore scaffold 1,7.392630317,4.91E-45,6.03E-43
zinc finger SWIM-type containing 5,2.336680966,7.02E-45,8.57E-43
hyaluronan synthase 3,4.280794376,8.28E-45,1.01E-42
AFDN divergent transcript,5.41659149,9.29E-45,1.12E-42
cystatin C,-4.79364177,1.01E-44,1.21E-42
cyclin dependent kinase 1,5.35793778,1.02E-44,1.21E-42
peptidyl arginine deiminase 2,-7.189734724,1.18E-44,1.40E-42
hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,-4.409518666,1.20E-44,1.42E-42
"RAB37, member RAS oncogene family",-4.612409141,1.26E-44,1.47E-42
solute carrier organic anion transporter family member 5A1,5.388934407,1.26E-44,1.47E-42
microfibril associated protein 2,7.089569293,1.28E-44,1.49E-42
potassium voltage-gated channel modifier subfamily S member 1,-6.778325875,2.00E-44,2.31E-42
phospholipase C delta 3,-3.573421692,2.43E-44,2.79E-42
forkhead box N4,6.579312602,5.55E-44,6.35E-42
coiled-coil domain containing 69,-4.13770213,7.18E-44,8.17E-42
arrestin domain containing 2,-4.834027041,9.36E-44,1.06E-41
kinesin family member 20A,7.533044685,1.12E-43,1.27E-41
Thy-1 cell surface antigen,-3.760537472,1.54E-43,1.73E-41
NFKB inhibitor interacting Ras like 2,2.230018098,3.11E-43,3.46E-41
heparanase 2 (inactive),-6.941021748,3.30E-43,3.66E-41
serine incorporator 2,5.90537186,4.81E-43,5.31E-41
Scm polycomb group protein like 2,3.014584521,1.34E-42,1.47E-40
thymosin beta 15B,3.965089317,2.05E-42,2.24E-40
zinc finger protein 250,2.638080241,2.36E-42,2.57E-40
exostosin like glycosyltransferase 1,-4.198093117,3.10E-42,3.36E-40
zinc finger protein 286A,2.864056549,3.42E-42,3.68E-40
lymphocyte cytosolic protein 2,-3.084084513,4.96E-42,5.31E-40
apoptosis associated tyrosine kinase,-3.983592215,6.76E-42,7.20E-40
NIPA like domain containing 3,-3.581356619,6.82E-42,7.23E-40
zinc finger BED-type containing 4,2.560490711,6.88E-42,7.26E-40
Rho GTPase activating protein 11A,4.275725548,7.37E-42,7.74E-40
pleckstrin homology domain containing B1,-5.747042002,8.07E-42,8.44E-40
nuclear receptor subfamily 3 group C member 1,-3.252814048,1.11E-41,1.15E-39
transketolase like 1,8.512513979,1.24E-41,1.28E-39
glial fibrillary acidic protein,-5.308429108,1.28E-41,1.32E-39
fatty acid 2-hydroxylase,-8.880175704,1.98E-41,2.03E-39
POU class 3 homeobox 4,3.541484678,2.07E-41,2.12E-39
TSPY like 2,-3.737478908,5.71E-41,5.80E-39
TTK protein kinase,6.123602815,6.70E-41,6.78E-39
neuronal differentiation 6,3.201645771,8.28E-41,8.33E-39
formin 1,-5.436291986,8.86E-41,8.87E-39
interferon induced transmembrane protein 10,-4.090436751,1.31E-40,1.30E-38
POU3F3 adjacent non-coding transcript 1,3.155440665,1.33E-40,1.32E-38
solute carrier family 7 member 14,-3.440931134,1.38E-40,1.36E-38
"extra spindle pole bodies like 1, separase",7.439180036,1.83E-40,1.80E-38
cyclin J,2.795784591,2.63E-40,2.58E-38
IQ motif containing GTPase activating protein 2,5.311992041,2.67E-40,2.60E-38
annexin A11,-4.171138137,2.99E-40,2.90E-38
G2 and S-phase expressed 1,6.580989806,3.26E-40,3.15E-38
LY86 antisense RNA 1,-8.914772476,3.76E-40,3.62E-38
"MYCL proto-oncogene, bHLH transcription factor",4.108852523,4.50E-40,4.31E-38
dopamine receptor D5,-5.820388511,7.40E-40,7.05E-38
vesicle associated membrane protein 1,-3.782081874,7.74E-40,7.35E-38
activator of transcription and developmental regulator AUTS2,3.48687155,9.52E-40,9.00E-38
carbonic anhydrase 11,-4.063325357,1.36E-39,1.28E-37
"aldolase, fructose-bisphosphate A",-3.066985645,1.48E-39,1.39E-37
synapsin II,-3.937948638,1.80E-39,1.68E-37
collagen type IV alpha 6 chain,7.085745387,1.90E-39,1.76E-37
CXADR like membrane protein,4.928304429,2.42E-39,2.24E-37
SEL1L family member 3,2.628675215,3.94E-39,3.63E-37
fibrillin 2,4.745719626,4.14E-39,3.80E-37
apolipoprotein L2,-3.495092236,4.78E-39,4.36E-37
heterogeneous nuclear ribonucleoprotein A0,1.875812764,6.75E-39,6.14E-37
PICALM interacting mitotic regulator,7.212490963,6.84E-39,6.19E-37
EH domain containing 3,-3.878239408,8.22E-39,7.41E-37
zinc finger protein 69,3.856297742,8.67E-39,7.79E-37
plasmolipin,-6.451087354,9.68E-39,8.66E-37
STEAP2 metalloreductase,-5.255878949,1.02E-38,9.08E-37
NK6 homeobox 2,-9.657658212,1.22E-38,1.09E-36
ventricular zone expressed PH domain containing 1,5.653236826,1.25E-38,1.10E-36
fatty acid desaturase 6,-6.612095794,1.35E-38,1.19E-36
zinc finger protein 300,5.338407346,2.66E-38,2.33E-36
phospholipid phosphatase 5,2.449641617,2.90E-38,2.54E-36
early growth response 3,-5.821191485,3.44E-38,2.99E-36
kinesin family member 14,5.895533421,3.49E-38,3.02E-36
calcium voltage-gated channel auxiliary subunit gamma 4,2.619869988,3.76E-38,3.24E-36
collagen type V alpha 3 chain,-4.17211953,3.78E-38,3.25E-36
hyaluronan and proteoglycan link protein 4,-4.7075387,5.10E-38,4.36E-36
glutamate receptor interacting protein 1,2.822126806,5.21E-38,4.44E-36
sushi domain containing 5,-4.388785553,6.04E-38,5.13E-36
solute carrier family 12 member 5,-4.505273196,6.16E-38,5.21E-36
POU class 3 homeobox 2,3.393631176,7.80E-38,6.57E-36
nescient helix-loop-helix 1,4.797488686,1.02E-37,8.59E-36
VANGL planar cell polarity protein 2,4.16239575,1.18E-37,9.83E-36
platelet activating factor acetylhydrolase 1b catalytic subunit 3,3.269216331,1.66E-37,1.38E-35
FRAS1 related extracellular matrix 3,-8.196245247,1.86E-37,1.54E-35
phenylalanine hydroxylase,-5.459992764,2.19E-37,1.81E-35
potassium voltage-gated channel interacting protein 3,-3.493120752,2.20E-37,1.81E-35
kallikrein related peptidase 6,-10.99018331,2.27E-37,1.86E-35
leucine rich repeat containing 3,5.143356563,2.32E-37,1.90E-35
non-POU domain containing octamer binding,2.188986217,5.11E-37,4.16E-35
SEC14 like lipid binding 2,-2.93700931,5.52E-37,4.48E-35
solute carrier family 35 member F3,-3.940525898,7.20E-37,5.82E-35
metallothionein 3,-5.331106766,7.69E-37,6.19E-35
par-6 family cell polarity regulator gamma,2.596229405,9.65E-37,7.74E-35
chitinase 3 like 1,-7.045822519,1.28E-36,1.03E-34
solute carrier family 25 member 18,-4.149490365,1.38E-36,1.10E-34
forkhead box M1,4.894915132,1.41E-36,1.12E-34
cysteine and glycine rich protein 2,4.460217714,1.55E-36,1.23E-34
Holliday junction recognition protein,7.551981068,1.63E-36,1.28E-34
xenotropic and polytropic retrovirus receptor 1,3.699305445,1.85E-36,1.45E-34
MIR4453 host gene,2.941936013,1.88E-36,1.47E-34
maternal embryonic leucine zipper kinase,7.397762273,2.05E-36,1.60E-34
zinc finger protein 793,2.765082563,2.08E-36,1.61E-34
Ras association domain family member 5,-4.060240708,2.21E-36,1.71E-34
phytanoyl-CoA 2-hydroxylase interacting protein,-4.001889882,2.49E-36,1.92E-34
Rho GDP dissociation inhibitor gamma,-3.674508869,2.54E-36,1.95E-34
family with sequence similarity 102 member A,-2.798452519,3.00E-36,2.29E-34
carbonic anhydrase 4,-5.259907658,3.26E-36,2.49E-34
break repair meiotic recombinase recruitment factor 1,2.648497384,3.44E-36,2.62E-34
EH domain containing 2,-3.287488036,3.99E-36,3.03E-34
NA,-8.9902622,4.40E-36,3.32E-34
zinc finger protein 551,3.122067618,4.49E-36,3.38E-34
polypeptide N-acetylgalactosaminyltransferase 9,-5.056716817,4.55E-36,3.41E-34
hyaluronan binding protein 4,-3.057445561,4.92E-36,3.68E-34
neuronal differentiation 4,9.001172456,6.03E-36,4.49E-34
cadherin EGF LAG seven-pass G-type receptor 1,5.331320911,6.24E-36,4.63E-34
Rho family GTPase 3,4.000973382,6.61E-36,4.89E-34
mitogen-activated protein kinase kinase 1,-2.727547883,8.72E-36,6.42E-34
adenylate kinase 5,-5.378119878,9.61E-36,7.06E-34
lysine demethylase 5B,2.46469889,1.00E-35,7.35E-34
G protein subunit alpha 15,-4.177383656,1.25E-35,9.13E-34
mohawk homeobox,-5.031590666,1.35E-35,9.82E-34
peroxidasin,3.137775498,1.36E-35,9.85E-34
ornithine decarboxylase 1,2.512941105,1.51E-35,1.09E-33
synaptopodin 2,-4.303690413,1.52E-35,1.10E-33
arginine vasopressin induced 1,-3.915479326,1.64E-35,1.17E-33
macoilin 1,1.623540442,1.76E-35,1.26E-33
septin 4,-4.478883613,2.12E-35,1.51E-33
kinesin family member 2C,5.526052344,2.16E-35,1.54E-33
heat shock protein family B (small) member 2,-3.850760423,2.34E-35,1.65E-33
oligodendrocyte transcription factor 1,-3.837219713,2.62E-35,1.85E-33
PDZ binding kinase,8.032477931,2.69E-35,1.89E-33
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",-3.449320049,3.00E-35,2.11E-33
trafficking regulator and scaffold protein tamalin,-4.302937778,3.10E-35,2.17E-33
establishment of sister chromatid cohesion N-acetyltransferase 2,5.709085757,3.13E-35,2.18E-33
zinc finger protein 677,2.951282926,3.77E-35,2.62E-33
thrombospondin 1,4.362073643,3.85E-35,2.66E-33
ethanolamine-phosphate phospho-lyase,-7.183628448,4.22E-35,2.92E-33
basic helix-loop-helix family member e22,4.644415034,5.56E-35,3.83E-33
solute carrier family 35 member F2,3.23793459,5.60E-35,3.84E-33
denticleless E3 ubiquitin protein ligase homolog,5.370925248,6.87E-35,4.70E-33
calcium binding protein 1,-5.38047961,8.02E-35,5.47E-33
BMP binding endothelial regulator,-3.419570955,9.24E-35,6.26E-33
contactin associated protein 1,-5.201054702,9.24E-35,6.26E-33
G protein-coupled receptor 161,3.385523505,1.16E-34,7.82E-33
proline rich 18,-7.771131553,1.28E-34,8.61E-33
abhydrolase domain containing 12B,-6.926156749,1.42E-34,9.51E-33
zinc finger protein 578,3.683949472,1.66E-34,1.11E-32
kinesin family member 15,5.122939126,1.67E-34,1.12E-32
PBX homeobox 4,2.968733376,1.72E-34,1.14E-32
MSC antisense RNA 1,-6.063545659,1.72E-34,1.14E-32
SLIT-ROBO Rho GTPase activating protein 1,4.242482697,1.74E-34,1.15E-32
non-SMC condensin I complex subunit G,6.203375036,1.74E-34,1.15E-32
miR-17-92a-1 cluster host gene,4.721070588,1.86E-34,1.22E-32
apolipoprotein L4,4.249164266,1.90E-34,1.24E-32
long intergenic non-protein coding RNA 928,4.33132949,1.94E-34,1.26E-32
cytochrome P450 family 46 subfamily A member 1,-5.083132226,2.15E-34,1.40E-32
solute carrier family 25 member 23,-2.679675174,2.29E-34,1.48E-32
phospholipid phosphatase 2,-7.239501671,3.05E-34,1.97E-32
interleukin 17 receptor D,3.804168288,3.15E-34,2.03E-32
protein phosphatase 1 regulatory inhibitor subunit 14B,2.662909774,3.81E-34,2.45E-32
thymocyte selection associated,-6.725459684,4.10E-34,2.63E-32
cytokine receptor like factor 1,-5.443814703,4.24E-34,2.71E-32
minichromosome maintenance 10 replication initiation factor,7.642476595,4.28E-34,2.73E-32
dysferlin,-4.475995548,4.40E-34,2.80E-32
family with sequence similarity 162 member A,-2.514484414,9.25E-34,5.86E-32
hydroxysteroid 17-beta dehydrogenase 6,-4.483015792,1.64E-33,1.04E-31
IgA inducing protein,-3.473728962,1.74E-33,1.10E-31
high mobility group box 3,2.640054865,1.81E-33,1.14E-31
purinergic receptor P2X 6,-4.371911243,1.84E-33,1.15E-31
regulator of G protein signaling 5,-3.489120328,1.92E-33,1.20E-31
ral guanine nucleotide dissociation stimulator like 3,-5.005684726,2.14E-33,1.33E-31
purinergic receptor P2X 7,-4.63624009,2.19E-33,1.36E-31
EMAP like 2,-2.562131203,2.37E-33,1.47E-31
kinesin family member 26A,4.242288428,3.05E-33,1.89E-31
diacylglycerol kinase gamma,-4.273005661,3.52E-33,2.17E-31
galectin 1,-3.622217229,3.69E-33,2.27E-31
Ras protein specific guanine nucleotide releasing factor 1,-3.877942806,4.10E-33,2.51E-31
acylphosphatase 2,-2.860686903,5.04E-33,3.08E-31
plexin A3,2.508961536,5.14E-33,3.13E-31
NA,3.497220427,5.15E-33,3.13E-31
sperm tail PG-rich repeat containing 1,-3.0128017,5.26E-33,3.19E-31
extended synaptotagmin 3,-4.391814333,5.70E-33,3.44E-31
galactose-3-O-sulfotransferase 4,3.465456952,5.76E-33,3.47E-31
"RAB40B, member RAS oncogene family",-2.685724473,6.46E-33,3.88E-31
PWWP domain containing 3B,-4.725930598,6.59E-33,3.95E-31
myelin regulatory factor,-5.727342583,7.28E-33,4.35E-31
family with sequence similarity 117 member B,2.591917384,9.90E-33,5.90E-31
activin A receptor type 2B,2.274154082,1.03E-32,6.13E-31
adrenoceptor alpha 1D,-4.898290846,1.11E-32,6.59E-31
HR lysine demethylase and nuclear receptor corepressor,-4.639611338,1.14E-32,6.74E-31
plexin B3,-5.017770595,1.16E-32,6.85E-31
sphingosine-1-phosphate receptor 5,-8.738516974,1.24E-32,7.28E-31
spindle and kinetochore associated complex subunit 3,4.837941803,1.75E-32,1.02E-30
spectrin repeat containing nuclear envelope protein 2,3.88680655,1.78E-32,1.04E-30
nucleoredoxin,2.405027493,1.79E-32,1.04E-30
zinc finger protein interacting with K protein 1,2.562306214,1.89E-32,1.10E-30
sialic acid acetylesterase,-3.727136862,1.91E-32,1.11E-30
"MYC proto-oncogene, bHLH transcription factor",2.975847,2.12E-32,1.23E-30
lipocalin like 1,-5.041456229,2.66E-32,1.53E-30
muscleblind like splicing regulator 2,-3.52932477,2.83E-32,1.63E-30
signal transducer and activator of transcription 6,-3.165297661,3.00E-32,1.72E-30
baculoviral IAP repeat containing 5,5.307668089,3.48E-32,1.99E-30
GEM interacting protein,2.940971723,4.09E-32,2.33E-30
G protein-coupled receptor 158,-4.790823784,4.35E-32,2.48E-30
kallikrein related peptidase 7,-10.60202594,4.58E-32,2.60E-30
coronin 6,-5.279267353,4.68E-32,2.65E-30
cysteine and glycine rich protein 1,-4.858607436,4.70E-32,2.65E-30
carbonic anhydrase 7,-6.851628088,4.85E-32,2.73E-30
cell division cycle 25A,3.994957612,5.74E-32,3.23E-30
zinc finger and BTB domain containing 7B,-3.776527477,6.47E-32,3.63E-30
septin 8,-2.916242347,6.61E-32,3.69E-30
TYRO3 protein tyrosine kinase,-2.898311308,6.65E-32,3.71E-30
WD repeat domain 76,3.092643045,7.40E-32,4.12E-30
lysine acetyltransferase 6B,2.401373015,8.10E-32,4.49E-30
solute carrier family 6 member 17,-3.720301525,8.14E-32,4.50E-30
prion protein,-3.054591082,8.15E-32,4.50E-30
neurotensin receptor 2,-8.798477799,8.22E-32,4.52E-30
Rho GTPase activating protein 22,-4.506918531,8.72E-32,4.79E-30
musculin,-6.87360502,8.95E-32,4.90E-30
parathyroid hormone 1 receptor,-3.151900957,9.15E-32,5.00E-30
phospholipase A and acyltransferase 3,-5.669659893,9.29E-32,5.06E-30
uncharacterized LOC440896,-5.734004503,9.73E-32,5.29E-30
semaphorin 3F,3.269121433,1.18E-31,6.40E-30
glutathione S-transferase omega 1,-2.364764115,1.51E-31,8.18E-30
DNA cross-link repair 1B,2.083537726,1.56E-31,8.44E-30
NSF attachment protein beta,-3.512524954,1.74E-31,9.36E-30
calcium homeostasis modulator 1,-7.624718546,1.80E-31,9.65E-30
kinesin family member 18B,5.890244959,1.88E-31,1.01E-29
glucosylceramidase beta,-1.87394157,2.01E-31,1.07E-29
