"GeneName"	"FoldChange"	"Pvalue"	"Padj"
"insulin like growth factor 2 mRNA binding protein 3"	6.82777384640648	1.4409395655329e-59	3.82042281637205e-57
"troponin T2, cardiac type"	-6.99516642714176	2.44761450226124e-59	6.41127552935682e-57
"major facilitator superfamily domain containing 4A"	-5.47803590573884	9.30675560867519e-59	2.40878778200247e-56
"parvalbumin"	-8.363811990303	1.0450446751298e-58	2.67297838611729e-56
"src kinase associated phosphoprotein 2"	-4.43675153492082	1.06202938587356e-58	2.68483498584617e-56
"MYCN proto-oncogene, bHLH transcription factor"	4.20651490501499	1.11813713091295e-57	2.79418613369866e-55
"ermin"	-9.87644508861116	1.36462085864045e-57	3.37138887360251e-55
"potassium two pore domain channel subfamily K member 1"	-5.0882521219953	1.56377303276348e-57	3.81999882082144e-55
"ribonucleotide reductase regulatory subunit M2"	7.94913634882368	1.71528961727357e-57	4.14356795212718e-55
"receptor activity modifying protein 1"	-5.83870728638877	1.99044702995121e-57	4.75541855804059e-55
"von Willebrand factor A domain containing 5B2"	-5.47990103955382	2.13447735456133e-57	5.04409480059976e-55
"tetraspanin 2"	3.89279373797126	1.83840621596542e-56	4.29771930551658e-54
"SPARC like 1"	-6.83683809382405	3.78600276069949e-56	8.74783387816897e-54
"membrane palmitoylated protein 3"	2.71729736680577	3.82247467193805e-56	8.74783387816897e-54
"G protein-coupled receptor 37 like 1"	-7.87059002933658	4.19284487174798e-56	9.49548337048676e-54
"hedgehog acyltransferase like"	-8.72365310831577	7.45991272239461e-56	1.67202023193383e-53
"serine protease 3"	-5.90208043152732	8.86584462086183e-56	1.96686048879752e-53
"matrix metallopeptidase 11"	4.49332327294682	1.36079496084029e-55	2.98838820642714e-53
"carboxypeptidase X, M14 family member 1"	5.96062705700201	1.73247169075251e-55	3.76656670286504e-53
"lactate dehydrogenase D"	-4.80989948370982	7.70006739140115e-55	1.65749668471735e-52
"signal transducer and activator of transcription 4"	-4.82052580123608	8.5466414931566e-55	1.82169149708547e-52
"ETS proto-oncogene 2, transcription factor"	-3.88464193542518	1.04047340604216e-54	2.19620702143326e-52
"ATPase phospholipid transporting 10A (putative)"	-3.43338206975717	1.95617673550919e-54	4.08934984679859e-52
"centromere protein F"	5.44771744091078	6.42935363613901e-54	1.33124359431712e-51
"potassium channel tetramerization domain containing 8"	-4.35521025919841	7.66257516439875e-54	1.57162308159616e-51
"leucine rich repeat LGI family member 3"	-9.24786448210334	9.14257265362151e-54	1.85379491454737e-51
"gamma-aminobutyric acid type A receptor subunit delta"	-6.2773712142195	9.20886117341042e-54	1.85379491454737e-51
"capping protein inhibiting regulator of actin dynamics"	3.82415544492036	1.87118768000734e-53	3.73224691293942e-51
NA	4.84426297992826	2.82281621096929e-53	5.57916793115304e-51
"osteoclast stimulating factor 1"	-2.96101725470061	2.97560778509123e-53	5.82817016717733e-51
"transient receptor potential cation channel subfamily M member 2"	-4.66239812944786	3.64325126177775e-53	7.07213622163482e-51
"proline rich 13"	-2.17992670599515	4.11435828868241e-53	7.91595252692427e-51
"chromobox 2"	5.59509450433487	8.02638398593402e-53	1.5307159143701e-50
"sodium voltage-gated channel beta subunit 2"	-4.6740941935263	1.1496702669124e-52	2.17347663242979e-50
"oligodendrocytic myelin paranodal and inner loop protein"	-12.5490098957915	1.29443319375211e-52	2.42605793666937e-50
"microtubule associated protein 1A"	-4.0404148215714	1.49450142689405e-52	2.7770902155644e-50
"small VCP interacting protein"	-3.03024936708722	1.96727663283324e-52	3.62462383681588e-50
"signal peptide, CUB domain and EGF like domain containing 1"	4.65680146013995	2.52299145459947e-52	4.60944178272665e-50
"clusterin"	-4.65491521542431	3.63240616812137e-52	6.58101187509389e-50
"potassium voltage-gated channel subfamily A regulatory beta subunit 2"	-4.65163413215883	4.21613073875846e-52	7.57544614804526e-50
"neurogranin"	-8.40241302160564	6.84217200330546e-52	1.21930870101528e-49
"proteolipid protein 1"	-9.19942084865313	7.75373359490415e-52	1.37051969176269e-49
"synaptopodin"	-5.87336604003029	8.85724283991286e-52	1.55294610147214e-49
"tescalcin"	-4.56621034458669	9.27786305655337e-52	1.61368016570021e-49
"WEE1 G2 checkpoint kinase"	5.29047148405982	1.52964199949276e-51	2.63936085007714e-49
"small integral membrane protein 10 like 2B"	-4.51459318527293	2.45187160174616e-51	4.19733389713096e-49
"dachsous cadherin-related 1"	3.48768112119017	3.35782670567293e-51	5.70332112562774e-49
"SIN3-HDAC complex associated factor"	4.84693284459743	3.53185573573107e-51	5.92740441401516e-49
"CD22 molecule"	-9.21662632052894	3.54428303124038e-51	5.92740441401516e-49
"immunoglobulin superfamily DCC subclass member 3"	3.58672199537129	6.47039921023353e-51	1.07383930709685e-48
"carnosine dipeptidase 1"	-8.27866642152467	7.06406463434321e-51	1.16348355466103e-48
"SH2 domain containing 5"	-6.71620940643124	7.76412110936752e-51	1.26917110555458e-48
"transcription factor AP-2 gamma"	5.75438554242109	1.18427981169932e-50	1.92144980493694e-48
"erythrocyte membrane protein band 4.1"	2.78727845076222	1.2218459330712e-50	1.96771499488155e-48
"synaptosome associated protein 25"	-4.27478961056667	1.64480513226641e-50	2.62939032210323e-48
"spermatogenesis and oogenesis specific basic helix-loop-helix 1"	-9.92717804110775	4.98567168921433e-50	7.91193344490575e-48
"transmembrane protein 151A"	-3.44909573412932	5.80711942964613e-50	9.14873793622729e-48
"long intergenic non-protein coding RNA, p53 induced transcript"	-3.60649180193519	6.66701528088396e-50	1.04278833972445e-47
"microtubule associated serine/threonine kinase 3"	-3.95855569767656	8.25601820132971e-50	1.28210065510792e-47
"aldehyde dehydrogenase 1 family member L1"	-6.43627818684525	1.96182089181489e-49	3.0249608516984e-47
"glutamic-oxaloacetic transaminase 1"	-3.43077192239126	2.05814348986781e-49	3.15113363473352e-47
"5'-nucleotidase domain containing 2"	2.9851485653878	2.58476903246617e-49	3.92975269474454e-47
"transmembrane protein 235"	-8.28022504194094	3.02836134945436e-49	4.57219472906161e-47
"ryanodine receptor 1"	-3.18673130171444	3.9242860934122e-49	5.88399337633618e-47
"protein phosphatase 1 regulatory subunit 16B"	-3.50990422928664	4.27324004734652e-49	6.36332273077812e-47
"jade family PHD finger 2"	-3.90280475429033	5.53026876019254e-48	8.17915463369701e-46
"F-box protein 2"	-6.20874318856145	7.41656796368694e-48	1.08948381147647e-45
"poly(A) binding protein cytoplasmic 1"	2.4081358616826	9.72794746170316e-48	1.41943158231469e-45
"GABA type A receptor associated protein like 1"	-2.85107991617352	9.83542787340513e-48	1.42554691597134e-45
"lipase G, endothelial type"	6.76370606991556	1.01611281601641e-47	1.46300057834522e-45
"Y-box binding protein 1"	3.34560778876897	1.60285998281419e-47	2.29261703199759e-45
"BEN domain containing 3"	3.5247786041829	1.67333276717796e-47	2.37777305171346e-45
"chromobox 7"	-3.99416526379184	2.04826760262206e-47	2.89164843822119e-45
"tumor protein D52"	-3.83236657848606	2.90889704574121e-47	4.08015036590062e-45
"assembly factor for spindle microtubules"	6.42191146679672	4.40924140517858e-47	6.14495624294792e-45
"synaptotagmin 6"	3.73869325998206	4.68558156398829e-47	6.48848590972416e-45
"myelin associated oligodendrocyte basic protein"	-9.41047487409323	8.90093350942451e-47	1.22477971790125e-44
"F-box and leucine rich repeat protein 16"	-4.27744172109199	1.10788950195993e-46	1.51488211711389e-44
"myosin heavy chain 7B"	-3.90734903640015	1.50695360593889e-46	2.04766739666984e-44
"cytoskeleton associated protein 2 like"	6.83262508231943	1.66865875084497e-46	2.24873404051893e-44
"signal regulatory protein alpha"	-4.54600758747692	1.67561250431934e-46	2.24873404051893e-44
"BUB1 mitotic checkpoint serine/threonine kinase B"	6.31453589823397	1.88229155764724e-46	2.51060740827047e-44
"eukaryotic translation initiation factor 4E binding protein 1"	3.91682689383628	1.982826347504e-46	2.62857485494418e-44
"complexin 1"	-5.05424369646281	1.99960158248604e-46	2.63474775786842e-44
"filamin binding LIM protein 1"	3.41307551215875	2.44804664657254e-46	3.20620374356227e-44
"Jupiter microtubule associated homolog 1"	2.58747121491383	2.70050525574926e-46	3.51566974642184e-44
"major histocompatibility complex, class I-related"	-4.42072786852502	3.32848416218062e-46	4.30741512916482e-44
"DNA methyltransferase 3 beta"	3.47449612461681	4.34970328110744e-46	5.59567449908621e-44
"NYN domain and retroviral integrase containing"	3.43685726686832	5.18956692029774e-46	6.63684555377606e-44
"olfactomedin 1"	-3.14842757706662	7.62997572635041e-46	9.70077791032657e-44
"transmembrane protein 144"	-8.76500888696517	1.18190087175064e-45	1.4939364449262e-43
"transmembrane 131 like"	3.42546699764264	2.28176443262561e-45	2.86750523293141e-43
"HLF transcription factor, PAR bZIP family member"	-5.06306392222031	2.50914089887232e-45	3.13512829209098e-43
"S100 calcium binding protein A6"	-3.69808359204666	3.06270943886364e-45	3.80493519487625e-43
"carnosine synthase 1"	-8.36987375585471	3.13526352934505e-45	3.87294115860743e-43
"kinetochore scaffold 1"	7.39263031741239	4.90893250393022e-45	6.02966675525124e-43
"zinc finger SWIM-type containing 5"	2.3366809661135	7.01766628684245e-45	8.57140914282257e-43
"hyaluronan synthase 3"	4.28079437613884	8.28388601794295e-45	1.00614506098379e-42
"AFDN divergent transcript"	5.41659148993516	9.28972411643049e-45	1.12204384452953e-42
"cystatin C"	-4.79364177045059	1.00710388391732e-44	1.20969312377052e-42
"cyclin dependent kinase 1"	5.35793777955707	1.0167624114049e-44	1.21458415309637e-42
"peptidyl arginine deiminase 2"	-7.18973472417919	1.17778408867407e-44	1.39924611321656e-42
"hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2"	-4.40951866639928	1.20228354605642e-44	1.42058948776156e-42
"RAB37, member RAS oncogene family"	-4.61240914076718	1.25968211815828e-44	1.4730963963691e-42
"solute carrier organic anion transporter family member 5A1"	5.38893440659365	1.26027289326458e-44	1.4730963963691e-42
"microfibril associated protein 2"	7.08956929276789	1.28389306144664e-44	1.49268016304339e-42
"potassium voltage-gated channel modifier subfamily S member 1"	-6.77832587500175	1.99978447777879e-44	2.31262310273345e-42
"phospholipase C delta 3"	-3.57342169152167	2.426720363434e-44	2.79149880536606e-42
"forkhead box N4"	6.57931260191504	5.54876434819146e-44	6.34924661547529e-42
"coiled-coil domain containing 69"	-4.13770213016165	7.18184257533492e-44	8.1748921167726e-42
"arrestin domain containing 2"	-4.83402704125052	9.3625788283442e-44	1.06016576201579e-41
"kinesin family member 20A"	7.53304468533601	1.12324114870083e-43	1.26530496445102e-41
"Thy-1 cell surface antigen"	-3.76053747151162	1.5408812347895e-43	1.72681953224528e-41
"NFKB inhibitor interacting Ras like 2"	2.23001809750315	3.10761764640597e-43	3.4647546282314e-41
"heparanase 2 (inactive)"	-6.94102174832592	3.296137636609e-43	3.65619022232226e-41
"serine incorporator 2"	5.90537185965236	4.80893249887303e-43	5.30715743441617e-41
"Scm polycomb group protein like 2"	3.0145845213277	1.34038316694367e-42	1.47178133497588e-40
"thymosin beta 15B"	3.965089316738	2.04983254764517e-42	2.23946780996752e-40
"zinc finger protein 250"	2.63808024127407	2.36362159995443e-42	2.56937486023046e-40
"exostosin like glycosyltransferase 1"	-4.19809311704828	3.10312670386325e-42	3.35647152580551e-40
"zinc finger protein 286A"	2.8640565489223	3.42321907537633e-42	3.68436662959192e-40
"lymphocyte cytosolic protein 2"	-3.0840845133473	4.96196738941386e-42	5.31419374449491e-40
"apoptosis associated tyrosine kinase"	-3.98359221470806	6.75872296115781e-42	7.20300960286921e-40
"NIPA like domain containing 3"	-3.58135661853552	6.81816083575574e-42	7.23090901122758e-40
"zinc finger BED-type containing 4"	2.56049071140884	6.87762820877108e-42	7.25856868382971e-40
"Rho GTPase activating protein 11A"	4.27572554789339	7.36902152586936e-42	7.73960855043119e-40
"pleckstrin homology domain containing B1"	-5.74704200203223	8.07245332198345e-42	8.43765421505972e-40
"nuclear receptor subfamily 3 group C member 1"	-3.25281404808962	1.10985038049109e-41	1.15450991015583e-39
"transketolase like 1"	8.51251397928744	1.23531413057343e-41	1.27890307203795e-39
"glial fibrillary acidic protein"	-5.30842910839752	1.27675722980439e-41	1.31554402526907e-39
"fatty acid 2-hydroxylase"	-8.88017570407898	1.97576053635328e-41	2.02617970853097e-39
"POU class 3 homeobox 4"	3.54148467800653	2.07357264613099e-41	2.11650436148046e-39
"TSPY like 2"	-3.7374789075706	5.7110549010804e-41	5.8020581590836e-39
"TTK protein kinase"	6.12360281477943	6.70042405566439e-41	6.77553113461393e-39
"neuronal differentiation 6"	3.20164577128471	8.28040626878244e-41	8.33445892081477e-39
"formin 1"	-5.43629198623995	8.85500505858196e-41	8.87173571330094e-39
"interferon induced transmembrane protein 10"	-4.09043675071382	1.30636942307158e-40	1.30283383610088e-38
"POU3F3 adjacent non-coding transcript 1"	3.15544066532977	1.32754049425174e-40	1.31790218655375e-38
"solute carrier family 7 member 14"	-3.44093113375433	1.37533958760788e-40	1.35914808973559e-38
"extra spindle pole bodies like 1, separase"	7.43918003569126	1.82596012839112e-40	1.79629860413355e-38
"cyclin J"	2.79578459057623	2.63261253016166e-40	2.57818148730832e-38
"IQ motif containing GTPase activating protein 2"	5.31199204100451	2.66998249060128e-40	2.60305333310145e-38
"annexin A11"	-4.17113813677079	2.99134391994677e-40	2.90333965015905e-38
"G2 and S-phase expressed 1"	6.58098980574707	3.26406866374956e-40	3.15396074749241e-38
"LY86 antisense RNA 1"	-8.91477247624424	3.763257697331e-40	3.62022060166695e-38
"MYCL proto-oncogene, bHLH transcription factor"	4.1088525226825	4.49838415133107e-40	4.30834228344004e-38
"dopamine receptor D5"	-5.82038851094107	7.39802762599327e-40	7.05440871125963e-38
"vesicle associated membrane protein 1"	-3.78208187376124	7.74134979506061e-40	7.34954960237611e-38
"activator of transcription and developmental regulator AUTS2"	3.48687155045663	9.51609420914207e-40	8.99519148699816e-38
"carbonic anhydrase 11"	-4.06332535677831	1.36018012276893e-39	1.28015913632551e-37
"aldolase, fructose-bisphosphate A"	-3.06698564453048	1.48396713125647e-39	1.39064350864858e-37
"synapsin II"	-3.9379486380606	1.7981154592518e-39	1.67780378539028e-37
"collagen type IV alpha 6 chain"	7.08574538680706	1.8986692329516e-39	1.76405845271798e-37
"CXADR like membrane protein"	4.92830442853461	2.42385306363885e-39	2.2424250832584e-37
"SEL1L family member 3"	2.62867521457309	3.93879897090087e-39	3.62853510281168e-37
"fibrillin 2"	4.74571962627288	4.14226694423523e-39	3.79987449935098e-37
"apolipoprotein L2"	-3.4950922358171	4.77763321628055e-39	4.36430772080485e-37
"heterogeneous nuclear ribonucleoprotein A0"	1.87581276434438	6.75491234070327e-39	6.14470917151589e-37
"PICALM interacting mitotic regulator"	7.21249096349509	6.8360426487981e-39	6.19260013447998e-37
"EH domain containing 3"	-3.87823940785513	8.21945516238443e-39	7.41490351391701e-37
"zinc finger protein 69"	3.85629774166493	8.67432466734415e-39	7.79291291705493e-37
"plasmolipin"	-6.45108735400525	9.68340971856963e-39	8.66366299141655e-37
"STEAP2 metalloreductase"	-5.25587894863634	1.01851776776519e-38	9.07524376597665e-37
"NK6 homeobox 2"	-9.657658212394	1.22370205381901e-38	1.08589821845221e-36
"ventricular zone expressed PH domain containing 1"	5.65323682632598	1.25006309178313e-38	1.10478136904297e-36
"fatty acid desaturase 6"	-6.61209579405217	1.34921106766812e-38	1.18757885919727e-36
"zinc finger protein 300"	5.33840734566455	2.65771270733763e-38	2.32989241815433e-36
"phospholipid phosphatase 5"	2.4496416168827	2.90403612303728e-38	2.53560840766882e-36
"early growth response 3"	-5.82119148520609	3.44288691290198e-38	2.99407217493608e-36
"kinesin family member 14"	5.89553342102005	3.49203151682936e-38	3.02471144252538e-36
"calcium voltage-gated channel auxiliary subunit gamma 4"	2.61986998804571	3.76119003282506e-38	3.244921924748e-36
"collagen type V alpha 3 chain"	-4.17211953000057	3.78144365178984e-38	3.24950064954794e-36
"hyaluronan and proteoglycan link protein 4"	-4.70753869990671	5.09868158723421e-38	4.3641904089787e-36
"glutamate receptor interacting protein 1"	2.82212680617883	5.20721292294492e-38	4.43960847677433e-36
"sushi domain containing 5"	-4.388785552905	6.04158045220815e-38	5.13085939888505e-36
"solute carrier family 12 member 5"	-4.50527319640489	6.15836535942704e-38	5.20968954394177e-36
"POU class 3 homeobox 2"	3.39363117606092	7.80067042386034e-38	6.57342541415301e-36
"nescient helix-loop-helix 1"	4.79748868608031	1.02387682648995e-37	8.59463555394519e-36
"VANGL planar cell polarity protein 2"	4.16239574967382	1.17547074159215e-37	9.82919592036731e-36
"platelet activating factor acetylhydrolase 1b catalytic subunit 3"	3.26921633100094	1.65845913437132e-37	1.38147739618264e-35
"FRAS1 related extracellular matrix 3"	-8.1962452468388	1.85621935390784e-37	1.54030782340879e-35
"phenylalanine hydroxylase"	-5.45999276420877	2.18522766988609e-37	1.80642717760432e-35
"potassium voltage-gated channel interacting protein 3"	-3.49312075205665	2.20018066766138e-37	1.81189878392523e-35
"kallikrein related peptidase 6"	-10.9901833070618	2.26982738576797e-37	1.86220064882949e-35
"leucine rich repeat containing 3"	5.14335656312917	2.32499691644566e-37	1.90029165264831e-35
"non-POU domain containing octamer binding"	2.18898621716312	5.10607694139203e-37	4.15772354991776e-35
"SEC14 like lipid binding 2"	-2.9370093103285	5.52107727989988e-37	4.47887093814565e-35
"solute carrier family 35 member F3"	-3.94052589826696	7.2018031229907e-37	5.82060972851081e-35
"metallothionein 3"	-5.33110676565426	7.68889759246448e-37	6.19127120584334e-35
"par-6 family cell polarity regulator gamma"	2.59622940540233	9.65275205589081e-37	7.74392924159122e-35
"chitinase 3 like 1"	-7.04582251898661	1.28426466243765e-36	1.02651463331091e-34
"solute carrier family 25 member 18"	-4.14949036459734	1.37691814619594e-36	1.09654129730571e-34
"forkhead box M1"	4.89491513234835	1.4060140535127e-36	1.11562596851896e-34
"cysteine and glycine rich protein 2"	4.4602177143848	1.55472547811924e-36	1.22913769526511e-34
"Holliday junction recognition protein"	7.55198106777141	1.62575598477286e-36	1.28063626322271e-34
"xenotropic and polytropic retrovirus receptor 1"	3.69930544535371	1.84991170547916e-36	1.45194694544485e-34
"MIR4453 host gene"	2.94193601312274	1.88097628937547e-36	1.47101818371626e-34
"maternal embryonic leucine zipper kinase"	7.3977622725497	2.05454675738721e-36	1.60100003771883e-34
"zinc finger protein 793"	2.76508256308894	2.07605808409171e-36	1.61198495736564e-34
"Ras association domain family member 5"	-4.06024070804561	2.21236282386793e-36	1.71170747877981e-34
"phytanoyl-CoA 2-hydroxylase interacting protein"	-4.00188988170583	2.49046988244159e-36	1.92004630192066e-34
"Rho GDP dissociation inhibitor gamma"	-3.67450886944415	2.54479922284929e-36	1.95499928989281e-34
"family with sequence similarity 102 member A"	-2.79845251901277	2.99701173751056e-36	2.29429690793018e-34
"carbonic anhydrase 4"	-5.25990765754794	3.2613829443521e-36	2.48792023133891e-34
"break repair meiotic recombinase recruitment factor 1"	2.64849738375004	3.44260938542843e-36	2.61698498771327e-34
"EH domain containing 2"	-3.28748803611908	3.99326314857763e-36	3.02500118861416e-34
NA	-8.99026220018436	4.39509707624121e-36	3.31784046995001e-34
"zinc finger protein 551"	3.12206761782745	4.48842420873409e-36	3.37656853709646e-34
"polypeptide N-acetylgalactosaminyltransferase 9"	-5.05671681729764	4.54590597854317e-36	3.40801868550024e-34
"hyaluronan binding protein 4"	-3.05744556068842	4.92352293258766e-36	3.67842996829513e-34
"neuronal differentiation 4"	9.0011724563281	6.02990040151252e-36	4.48959125442752e-34
"cadherin EGF LAG seven-pass G-type receptor 1"	5.33132091136561	6.24217891686026e-36	4.63178197376993e-34
"Rho family GTPase 3"	4.00097338201823	6.60945193683485e-36	4.88762226390226e-34
"mitogen-activated protein kinase kinase 1"	-2.72754788277044	8.71698570298366e-36	6.42427071757857e-34
"adenylate kinase 5"	-5.37811987758529	9.61221986835833e-36	7.06011054587765e-34
"lysine demethylase 5B"	2.46469888991641	1.00358747712823e-35	7.34646307752351e-34
"G protein subunit alpha 15"	-4.17738365587376	1.25080605848849e-35	9.12542769046918e-34
"mohawk homeobox"	-5.03159066600503	1.35088751120709e-35	9.82262387329541e-34
"peroxidasin"	3.13777549794869	1.35911845460557e-35	9.8495314405266e-34
"ornithine decarboxylase 1"	2.51294110511486	1.5107396022416e-35	1.09119567084168e-33
