	SRR1554535	SRR1554537	SRR1554539	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
100049076	3	38	5	35	11	145	170	126
100049587	5	8	6	4	3	9	6	12
100049615	0	0	0	0	0	0	1	0
100049716	145	73	75	122	72	82	117	78
10005	814	639	609	825	1058	637	639	535
10006	3171	2595	2577	2986	2564	2033	3461	2146
10007	1236	1335	902	1357	1152	1727	1398	1278
100073347	13	46	92	16	12	182	121	143
10008	25	51	53	51	31	118	76	50
10009	898	3493	1029	1114	722	2829	3441	2744
100093630	504	992	413	629	358	1011	770	562
100093631	506	842	428	846	297	1570	1679	1194
1001	72	919	105	156	201	535	508	302
10010	673	1133	516	835	419	1722	1620	1700
100101115	0	0	0	0	0	0	0	0
100101116	0	0	0	0	0	0	0	0
100101117	0	0	0	0	0	0	0	0
100101118	0	0	0	0	0	0	0	0
100101120	0	0	0	0	0	0	0	0
100101121	0	0	0	0	0	0	0	0
100101266	5	45	14	19	11	55	92	50
100101267	1508	3091	1673	1938	2548	2689	3068	3020
100101467	607	1791	524	1166	403	2268	2321	2097
100101490	80	232	75	89	76	294	361	238
100101938	4	0	0	2	7	0	0	0
10011	716	1446	465	768	738	1677	1530	1375
100113378	1	3	0	0	0	9	3	2
100113379	0	0	0	0	0	1	2	2
100113380	7	14	1	7	3	15	11	11
100113381	1	16	3	5	1	31	22	20
100113382	0	0	0	0	0	0	0	0
100113384	0	0	1	1	0	4	0	0
100113385	1	21	4	7	0	30	12	25
100113386	14	115	12	31	52	114	69	55
100113389	4	10	1	5	1	6	10	4
100113390	5	22	2	11	8	47	20	29
100113391	0	0	0	0	0	0	0	0
100113392	0	2	0	0	0	0	0	1
100113393	0	7	3	0	0	8	7	17
100113402	0	0	0	0	0	0	0	0
100113407	2540	4807	3237	3024	1323	3466	4981	3801
100124412	0	1	0	0	0	0	0	0
100124516	14	36	6	15	9	88	49	45
100124533	2	14	4	6	1	10	18	15
100124534	1	0	1	2	1	1	2	5
100124535	0	0	0	0	0	0	0	0
100124536	0	4	0	1	0	4	3	2
100124537	1	0	0	1	0	1	2	0
100124538	0	0	0	0	0	0	1	1
100124539	0	0	0	0	0	0	0	0
100124540	0	0	0	0	0	1	0	0
100124541	0	1	0	1	0	1	3	1
100124542	0	4	0	0	0	4	3	0
100124692	2	4	1	1	2	14	9	20
100124700	0	0	0	0	0	0	0	0
100125288	187	633	100	160	276	744	473	353
100125556	64	33	97	81	113	44	50	21
100126270	2	12	4	3	5	3	9	12
100126296	0	1	0	0	0	1	0	1
100126297	1	0	0	0	0	0	0	0
100126299	0	0	0	0	0	0	0	0
100126300	0	0	0	0	0	0	0	0
100126301	0	0	0	1	0	0	0	0
100126302	0	1	0	0	0	0	0	0
100126303	0	0	0	0	0	0	0	0
100126304	0	0	0	0	0	0	0	0
100126306	0	0	0	0	0	0	0	0
100126307	1	0	0	1	1	0	0	0
100126308	0	0	0	2	1	1	0	1
100126309	0	0	1	0	0	1	0	0
100126310	0	0	0	0	0	0	0	0
100126311	0	0	0	0	0	0	0	0
100126313	0	1	2	2	0	2	2	1
100126314	0	0	0	0	0	0	0	0
100126315	0	0	0	1	2	0	0	0
100126316	0	0	0	0	0	1	0	0
100126317	3	18	7	8	4	4	12	9
100126318	0	0	0	0	0	0	0	0
100126319	0	0	0	0	0	0	0	0
100126320	0	0	0	0	1	4	0	1
100126321	0	0	0	0	0	0	0	0
100126323	0	0	0	0	0	0	0	0
100126324	0	0	0	0	0	0	0	0
100126325	0	0	0	0	0	0	0	0
100126326	0	0	0	0	0	0	0	0
100126327	0	0	0	0	0	0	0	1
100126328	11	14	13	13	22	13	17	10
100126329	2	3	0	1	4	4	1	6
100126331	0	1	0	0	0	1	0	0
100126332	2	5	2	3	5	0	3	3
100126333	1	5	1	1	1	0	0	1
100126334	0	0	0	0	0	0	0	0
100126335	0	0	0	0	0	0	1	0
100126336	0	0	0	0	0	0	0	0
100126337	0	0	0	0	0	0	0	0
100126338	0	0	0	0	0	0	0	0
100126339	0	2	0	0	0	1	1	0
100126340	0	0	0	0	0	0	0	0
100126341	0	0	0	0	0	0	0	0
100126342	0	0	0	3	0	0	0	0
100126343	0	0	0	0	1	0	0	0
100126344	0	0	0	0	0	0	0	0
100126345	0	0	0	0	0	0	0	0
100126346	0	0	0	0	0	0	0	0
100126347	0	2	0	0	0	1	0	2
100126348	3	19	7	4	17	2	8	5
100126349	0	0	0	0	0	0	0	0
100126350	0	0	0	0	0	0	0	2
100126351	0	0	0	0	0	0	0	0
100126354	0	0	0	0	0	0	0	0
100126355	0	0	0	1	0	0	0	0
100126356	0	0	0	0	0	0	0	0
100126447	1	1	0	0	0	1	0	0
100126582	1	46	7	12	5	26	27	33
100126693	0	1	0	4	1	16	1	4
100126780	0	0	0	0	0	0	0	0
100126781	0	0	0	0	0	0	0	0
100126784	502	348	574	444	693	154	305	137
100126791	0	1	3	1	1	3	1	0
100126793	10	34	16	23	26	30	23	25
100126798	0	0	0	0	0	0	0	0
100126799	0	0	0	0	0	0	0	0
100126800	0	0	0	0	0	0	0	0
100127206	5	1	2	2	0	0	0	1
100127885	4	0	1	6	0	1	6	0
100127888	3	2	9	15	31	6	4	5
100127889	6	23	6	16	6	17	17	21
100127891	24	59	6	30	10	66	48	56
100127909	0	0	0	0	0	0	0	0
100127910	46	1	26	20	17	0	12	0
100127919	0	0	0	0	0	0	0	0
100127946	1	0	3	1	3	0	0	0
100127950	1	6	1	2	4	17	18	11
100127961	1	1	1	2	3	3	6	5
100127974	6	34	7	22	3	25	43	24
100127983	19	73	16	29	11	65	63	86
100127987	2	4	5	5	1	4	8	2
100128002	6	0	3	0	11	10	16	9
100128003	81	519	87	162	155	629	428	396
100128023	0	0	0	0	0	0	0	0
100128028	11	4	8	11	14	36	11	40
100128031	0	0	0	0	0	0	0	0
100128054	6	90	6	11	2	75	65	91
100128055	2	1	2	10	3	1	2	4
100128059	1	0	1	2	1	1	1	0
100128064	15	4	5	107	32	0	1	4
100128071	47	70	23	35	73	70	64	45
100128076	11	3	3	5	24	2	7	2
100128077	2	2	4	3	3	6	6	6
100128081	174	16	129	77	96	1	16	4
100128095	8	40	36	21	29	17	5	14
100128098	2	0	0	1	3	0	1	1
100128105	1	0	2	2	0	4	6	1
100128124	1	1	9	48	2	3	6	0
100128130	5	1	5	9	2	4	3	0
100128131	22	354	16	45	40	505	514	478
100128139	0	0	2	2	1	0	1	1
100128155	0	5	0	4	0	6	8	3
100128160	0	0	0	0	0	0	0	0
100128164	11	21	12	20	17	15	22	12
100128174	0	0	0	0	0	0	0	0
100128191	16	80	7	26	14	189	128	149
100128239	188	64	217	166	228	77	55	51
100128242	1	179	4	6	11	35	86	110
100128252	1378	1595	1132	1541	926	1253	2244	1821
100128253	57	4	76	86	185	4	12	9
100128254	0	0	0	0	0	0	2	0
100128256	0	0	0	0	0	0	0	0
100128260	1	0	0	0	0	0	0	0
100128262	4	14	3	4	9	8	6	4
100128264	481	5	709	381	504	3	27	2
100128270	0	0	0	0	0	0	0	0
100128276	24	24	6	16	59	30	14	13
100128278	0	0	0	0	0	1	5	1
100128285	128	181	115	109	114	216	417	122
100128288	146	1362	63	221	80	1129	1458	1192
100128292	36	148	59	47	41	137	126	115
100128300	132	601	175	186	186	925	782	593
100128302	0	2	0	1	0	1	2	0
100128304	15	53	16	18	28	29	18	35
100128310	0	4	6	0	2	7	42	6
100128326	13	13	5	18	9	4	14	6
100128327	2	0	4	1	3	2	2	0
100128334	0	1	3	2	0	3	2	1
100128338	35	61	36	33	54	77	91	46
100128340	16	50	21	15	26	10	29	23
100128342	24	126	60	81	68	65	102	97
100128343	1	10	0	2	5	12	12	8
100128346	11	70	17	15	24	48	76	26
100128355	0	2	2	0	0	1	2	3
100128361	26	208	51	63	79	187	135	196
100128364	230	1536	154	237	283	217	1386	647
100128371	0	2	1	1	1	3	2	2
100128374	8	2	25	24	43	2	26	3
100128378	0	1	0	1	0	5	0	2
100128385	0	0	0	4	2	0	0	0
100128398	239	1075	245	380	420	1009	1691	1297
100128406	11	32	3	50	6	17	87	40
100128460	92	62	32	102	62	69	39	58
100128482	0	4	0	1	1	8	1	2
100128496	0	0	0	0	0	0	0	1
100128505	1	0	0	1	0	2	3	1
100128508	1	4	2	2	0	2	3	0
100128511	15	0	23	16	19	2	19	0
100128542	3	0	1	11	0	1	1	1
100128553	2	1	0	1	0	1	1	0
100128554	68	4	57	49	39	0	34	3
100128563	3	9	7	0	7	12	10	1
100128569	155	527	113	340	262	477	389	364
100128573	3	17	3	10	4	7	5	11
100128574	0	20	1	5	4	11	8	13
100128590	5	53	51	23	17	13	54	11
100128593	7	0	4	3	9	2	1	0
100128596	0	1	0	0	0	0	0	0
100128640	22	197	26	30	47	153	177	194
100128644	10	30	38	40	44	58	19	48
100128653	25	51	38	55	97	78	55	68
100128655	0	0	0	0	0	0	0	0
100128675	105	0	50	449	36	1	1	0
100128726	7	12	10	30	8	15	25	13
100128731	645	1435	442	1037	427	1297	1500	1042
100128737	51	106	46	87	49	125	91	75
100128750	1	1	0	2	4	0	2	0
100128751	1	0	0	1	0	0	0	2
100128770	19	17	16	15	15	33	33	17
100128782	350	472	325	449	476	537	612	660
100128785	9	76	5	2	5	10	28	5
100128788	11	3	6	20	8	13	24	12
100128811	33	3	24	24	38	1	3	1
100128816	5	24	9	9	4	11	13	20
100128818	0	1	0	0	3	7	2	2
100128822	230	329	144	256	219	540	589	548
100128840	0	0	0	0	0	0	1	0
100128881	85	255	67	217	177	167	232	174
100128890	21	55	54	28	164	38	52	118
100128893	0	0	2	0	0	1	0	0
100128905	0	1	0	0	0	0	4	1
100128908	12	0	9	18	3	3	1	1
100128909	5	2	1	3	3	1	1	1
100128927	16	38	12	27	33	181	94	94
100128935	0	0	0	0	0	0	0	0
100128946	63	26	79	93	56	35	51	20
100128977	11	19	3	9	14	8	20	3
100128979	23	20	19	30	29	86	41	51
100128988	0	1	0	0	0	0	0	1
100128997	552	62	290	1399	471	61	67	45
100128998	2	0	2	0	2	0	1	0
100129027	0	0	0	2	0	4	5	3
100129033	6	12	4	6	5	13	9	15
100129034	1280	4435	919	1714	1570	3262	2636	2861
100129046	3	4	2	6	3	1	4	4
100129055	1	0	2	13	4	3	6	0
100129060	57	199	52	132	67	172	259	255
100129066	0	2	1	0	0	4	2	4
100129075	10	25	13	12	18	39	38	39
100129083	0	3	0	1	0	5	1	2
100129085	12	22	6	11	4	35	32	20
100129094	1	4	0	0	0	2	0	2
100129098	2	2	0	0	0	1	2	1
100129101	8	1	2	19	9	6	3	2
100129104	84	208	57	85	76	141	154	129
100129118	17	3	11	14	11	13	5	24
100129119	1	6	2	2	2	9	2	2
100129128	7	17	1	10	6	16	12	14
100129135	0	0	0	0	0	0	1	0
100129138	0	10	0	1	0	9	2	4
100129144	0	0	0	0	0	0	0	0
100129148	21	10	21	22	5	24	33	18
100129195	119	159	77	177	80	159	275	200
100129196	22	7	10	110	24	7	13	3
100129201	0	2	0	9	0	1	3	3
100129203	54	25	49	56	19	30	49	16
100129204	8	13	3	13	18	11	5	3
100129215	30	129	35	53	58	123	152	81
100129216	1	18	4	3	1	19	14	14
100129223	188	567	282	262	241	530	506	336
100129233	1	1	1	2	3	2	5	4
100129239	0	0	0	0	0	0	0	0
100129250	55	23	46	72	23	21	44	27
100129268	32	67	26	59	23	103	95	108
100129269	7	2	1	14	7	13	9	14
100129271	0	0	0	0	0	0	0	0
100129307	0	0	0	0	0	0	0	0
100129316	3	8	1	4	7	2	5	5
100129345	2	1	0	0	0	29	3	16
100129354	5	11	1	9	3	10	7	6
100129387	171	2304	215	456	137	2240	1839	2104
100129396	3	83	13	8	20	0	87	6
100129405	85	428	89	157	120	441	454	428
100129407	0	0	0	0	0	0	0	0
100129409	0	3	1	1	0	4	4	2
100129413	0	1	0	0	0	0	1	0
100129424	8	9	2	5	6	18	8	5
100129427	0	0	0	0	0	0	0	0
100129434	68	94	123	165	89	56	74	28
100129461	2	2	2	1	0	1	3	2
100129463	0	0	1	0	0	0	0	0
100129478	2	10	9	8	7	10	6	6
100129482	1528	3753	2138	2377	1723	3302	5464	4393
100129484	122	304	123	152	205	340	348	196
100129492	1	2	0	1	0	2	4	0
100129503	2	26	4	2	17	23	18	8
100129515	1	0	0	1	5	0	0	0
100129518	54	35	22	45	46	109	105	71
100129534	67	114	72	74	130	169	69	103
100129543	0	302	8	15	0	377	189	334
100129550	422	1173	431	584	391	726	1352	985
100129583	252	21	273	321	197	42	92	27
100129596	2	16	3	2	4	23	10	9
100129597	0	0	0	0	0	0	1	0
100129617	5	22	9	13	10	38	15	27
100129620	37	75	19	11	32	35	159	82
100129626	0	1	0	8	0	0	0	0
100129633	22	4	9	22	7	0	10	5
100129637	354	1165	390	536	698	1334	1398	1064
100129654	3	5	0	6	2	0	1	0
100129697	15	22	19	17	33	43	13	15
100129699	0	0	0	0	0	0	0	0
100129702	8	17	4	8	11	6	16	11
100129703	0	3	0	2	0	2	1	1
100129716	5	17	15	14	6	13	10	8
100129722	13	0	8	11	1	6	12	6
100129726	6	21	1	16	4	48	21	14
100129744	0	0	0	0	0	0	0	0
100129781	65	19	106	63	83	12	42	0
100129786	0	0	0	0	0	0	0	0
100129792	103	447	114	216	54	480	521	642
100129794	43	28	24	57	16	17	73	21
100129827	5	0	9	14	2	8	1	5
100129831	14	1	7	6	15	3	2	2
100129842	417	2366	607	699	111	3017	4015	4020
100129845	4	18	1	4	5	3	23	7
100129858	39	9	24	80	14	20	34	12
100129860	0	0	0	0	0	0	0	0
100129885	1	0	0	0	0	0	0	1
100129890	27	88	24	65	13	106	129	92
100129898	0	0	0	0	0	0	0	0
100129917	59	633	66	147	149	477	377	527
100129924	3	26	4	10	7	45	22	16
100129931	6	4	6	9	8	12	7	5
100129935	0	0	0	0	0	0	0	0
100129940	2	23	3	4	1	26	36	17
100129961	40	417	61	79	42	133	181	97
100129973	96	20	79	70	108	14	30	20
100129979	0	0	0	0	0	0	0	0
100129999	8	39	5	12	25	62	47	40
10013	1892	5303	1372	2940	2130	8140	6174	6199
100130000	3	5	2	0	2	5	7	3
100130009	12	21	4	12	15	28	22	23
100130015	78	105	55	72	58	174	112	93
100130017	0	0	0	0	0	0	0	0
100130027	388	975	296	501	422	1146	1126	858
100130071	12	23	11	11	22	19	13	17
100130083	1	1	0	2	0	3	3	2
100130093	75	261	56	87	141	132	183	178
100130097	62	94	68	138	87	112	103	161
100130100	0	0	0	0	0	0	1	0
100130111	43	80	51	57	119	43	105	41
100130148	40	68	79	38	103	56	99	28
100130155	80	206	74	81	94	52	124	56
100130156	0	4	3	0	0	0	2	2
100130157	10	32	5	27	21	38	27	32
100130169	0	2	1	0	1	0	0	0
100130172	7	26	23	13	11	25	40	40
100130219	177	375	148	197	142	501	634	552
100130231	5	1	12	11	3	2	8	4
100130232	2	2	1	11	7	4	1	0
100130238	72	8	134	101	187	25	8	9
100130249	0	0	2	0	0	1	0	1
100130255	10	15	17	12	21	6	18	4
100130264	0	0	0	3	3	1	2	0
100130274	2	16	3	2	9	7	4	15
100130275	0	1	0	0	1	3	3	1
100130285	1	9	4	7	5	4	5	6
100130298	4	9	2	8	6	22	4	16
100130301	2	13	0	3	0	14	21	13
100130302	2	1	0	2	1	0	0	0
100130311	114	168	174	161	454	96	94	133
100130331	20	2	38	29	39	3	2	1
100130342	0	5	2	2	1	13	4	4
100130345	4	8	10	9	4	2	14	5
100130348	1	3	0	2	2	0	3	2
100130357	58	597	104	129	121	664	649	669
100130361	0	0	0	0	0	0	0	0
100130370	107	9	61	200	53	11	10	4
100130386	17	0	15	25	17	7	9	3
100130401	1	2	0	1	0	3	4	2
100130417	8	52	2	10	7	95	38	52
100130418	56	118	99	292	119	70	282	84
100130428	10	43	9	10	2	40	62	34
100130449	126	660	120	137	179	469	466	477
100130452	0	1	0	0	0	0	0	3
100130458	0	0	0	0	0	0	0	0
100130466	1	0	0	0	0	0	0	0
100130476	0	6	0	0	2	6	13	5
100130480	0	0	0	0	2	0	4	0
100130502	5	0	0	11	1	9	0	0
100130503	409	5509	693	637	887	1427	2991	2240
100130507	1	89	7	7	6	112	184	28
100130519	131	78	122	122	199	242	61	200
100130522	22	184	44	48	91	156	127	125
100130539	34	9	31	48	52	2	11	7
100130547	68	30	37	75	64	107	49	82
100130548	3	27	11	9	19	28	27	19
100130557	142	312	114	225	79	382	523	471
100130579	1	0	2	4	0	0	1	0
100130581	49	41	35	58	31	49	81	49
100130589	2	0	1	0	0	1	1	0
100130613	0	1	0	5	0	0	0	0
100130673	12	11	11	5	17	7	10	4
100130691	123	76	131	212	97	122	189	101
100130698	10	0	5	8	6	0	0	0
100130700	0	0	0	0	0	0	0	0
100130701	1	0	0	1	0	0	0	0
100130717	3	20	11	13	16	13	18	16
100130733	16	29	9	37	5	76	53	63
100130736	0	1	0	0	0	0	1	0
100130742	13	14	5	20	4	13	15	17
100130771	14	67	23	27	17	41	70	48
100130776	18	105	28	21	37	82	75	56
100130800	1	3	2	1	1	1	3	2
100130815	0	0	0	0	0	0	0	0
100130825	2	1	0	2	1	0	4	2
100130827	0	0	0	0	0	2	1	1
100130830	0	0	0	0	0	0	0	0
100130849	0	0	0	0	0	0	0	0
100130855	48	123	53	52	30	130	168	195
100130856	99	326	106	153	167	297	332	253
100130876	1	0	0	1	0	2	3	0
100130880	0	0	0	0	0	3	1	0
100130887	48	85	26	85	45	9	189	165
100130889	0	0	0	0	0	2	1	0
100130894	72	4	43	81	60	9	14	2
100130921	21	7	89	29	162	11	9	8
100130932	59	50	64	129	46	58	115	66
100130933	33	3	13	95	5	2	3	2
100130935	0	0	0	0	0	0	0	0
100130938	5	2	1	8	4	0	2	0
100130950	146	628	153	181	185	525	594	662
100130954	0	0	1	0	0	0	0	0
100130958	25	43	21	31	22	87	77	71
100130967	5	11	5	6	5	10	15	5
100130987	77	250	83	37	75	176	177	192
100130988	2	2	1	1	1	0	0	0
100130998	2	8	10	11	6	22	17	9
100131035	0	0	0	0	0	0	0	0
100131060	37	19	34	62	28	1	7	6
100131067	97	356	135	267	161	428	287	237
100131089	124	115	69	191	125	101	124	131
100131091	48	190	59	71	83	69	235	118
100131094	32	48	14	43	53	61	60	78
100131107	0	0	0	0	0	0	0	0
100131117	0	7	1	3	2	5	8	3
100131131	0	0	0	0	0	0	0	0
100131132	1	2	0	1	0	1	3	3
100131137	0	0	1	0	0	0	0	0
100131138	0	91	0	0	0	0	3	1
100131174	0	0	0	0	0	0	0	0
100131176	9	15	13	6	22	18	45	25
100131187	288	713	172	283	256	441	314	290
100131193	86	178	124	90	130	309	148	235
100131205	21	21	4	19	6	39	28	20
100131208	112	26	118	96	133	17	90	37
100131211	97	180	72	157	43	302	234	231
100131213	53	14	54	48	68	31	24	19
100131244	13	6	17	13	52	28	26	72
100131257	0	0	0	0	0	3	0	1
100131275	0	2	1	1	0	1	9	1
100131283	1	6	0	10	3	5	5	3
100131297	1	0	0	0	0	0	0	1
100131316	0	1	5	1	0	5	1	2
100131320	144	11	134	129	48	46	86	23
100131347	5	24	7	21	6	14	23	7
100131354	42	46	51	76	51	32	48	47
100131366	2	0	0	0	0	2	0	0
100131372	5	1	0	0	1	0	1	1
100131373	0	4	0	0	1	1	8	1
100131378	3	7	9	6	6	2	8	3
100131381	12	3	14	6	13	2	2	0
100131390	41	91	39	39	112	125	465	56
100131395	23	18	18	29	25	3	9	11
100131434	117	265	107	151	159	211	264	263
100131439	0	0	0	0	0	0	0	0
100131450	7	4	10	2	6	27	44	22
100131454	67	125	48	77	92	129	171	98
100131479	0	1	3	0	0	0	1	2
100131496	0	4	1	1	4	8	5	3
100131510	13	59	19	34	20	30	60	33
100131519	5	6	18	12	15	1	10	14
100131530	97	35	38	219	73	51	44	22
100131539	1	4	5	6	0	18	11	9
100131541	1	3	4	4	3	0	2	1
100131551	6	2	6	3	3	0	2	1
100131561	0	0	1	1	0	0	0	2
100131564	134	449	225	508	170	522	441	393
100131580	0	0	1	1	1	1	7	1
100131607	32	8	10	49	5	15	3	2
100131608	1	0	0	0	0	4	1	2
100131635	0	1	0	0	0	0	3	2
100131679	23	62	37	46	26	56	77	49
100131691	137	415	141	231	236	330	386	332
100131726	0	0	1	0	0	0	0	0
100131733	3	5	3	7	2	1	7	6
100131738	118	363	163	136	260	153	287	193
100131744	4	1	4	14	9	0	13	0
100131754	23879	2345	515	38567	9686	29	4113	1801
100131755	519	1029	576	660	580	1193	1463	1336
100131774	0	0	0	0	0	0	0	0
100131801	611	849	455	801	668	1342	1179	756
100131814	16	9	7	19	15	5	13	1
100131816	0	0	0	0	0	0	0	0
100131818	2	2	0	0	0	0	0	0
100131823	0	0	0	0	0	0	0	0
100131825	58	219	57	60	35	168	235	300
100131826	2	24	1	6	6	13	25	17
100131827	46	77	76	96	27	76	182	83
100131871	0	0	0	0	0	0	0	0
100131884	2	8	6	8	2	12	0	3
100131897	102	217	211	452	204	117	61	91
100131902	0	0	0	0	0	0	0	0
100131910	3	0	1	3	0	1	1	1
100131980	0	0	0	0	0	0	0	0
100131997	26	62	30	26	32	296	139	132
100131998	147	396	206	211	229	218	319	364
100132024	0	0	0	0	0	0	0	0
100132050	0	0	0	0	0	1	0	2
100132055	0	0	5	0	1	9	1	2
100132057	0	3	1	0	0	0	4	0
100132062	8	16	7	10	3	34	15	11
100132074	90	871	50	80	121	1082	419	723
100132077	10	51	32	14	62	36	135	15
100132101	44	104	28	68	7	128	186	145
100132103	14	54	55	53	19	16	72	12
100132111	59	20	96	93	135	15	20	6
100132116	4	2	14	9	12	4	3	3
100132124	0	0	0	0	0	0	0	0
100132143	0	0	0	0	0	0	0	0
100132163	11	29	9	15	18	22	27	21
100132169	6	20	7	15	32	6	3	4
100132174	0	0	0	0	0	0	0	0
100132183	124	239	73	98	44	240	365	295
100132202	0	0	1	1	0	0	0	0
100132215	66	207	53	95	73	147	204	203
100132217	0	0	0	0	0	0	0	0
100132229	0	0	0	0	0	0	0	0
100132234	0	0	0	0	0	0	0	0
100132247	1522	1738	764	1087	949	573	1474	1281
100132249	45	114	129	112	177	105	147	98
100132257	0	0	0	0	0	0	0	0
100132272	25	29	31	29	59	11	27	11
100132273	82	337	154	111	246	123	201	98
100132285	0	0	0	0	0	0	0	0
100132287	5	7	3	7	4	16	21	3
100132288	124	1	27	9	129	0	1	0
100132292	1	1	1	3	0	1	5	0
100132304	0	1	0	0	0	0	0	0
100132314	2	19	18	4	12	8	10	9
100132330	1	0	0	1	1	0	0	0
100132336	0	0	0	0	0	0	0	0
100132339	0	0	0	0	0	0	0	0
100132341	74	462	182	124	222	432	402	417
100132346	0	0	1	1	0	1	1	0
100132352	19	87	29	38	47	82	84	113
100132354	10	33	7	6	6	12	23	9
100132356	37	124	49	98	96	145	129	126
100132386	0	0	0	0	0	0	0	0
100132396	0	0	0	0	0	0	0	0
100132399	0	0	0	0	0	0	0	0
100132403	0	0	1	0	1	4	3	1
100132406	150	577	100	259	263	1214	666	1027
100132417	3	13	4	8	3	5	27	5
100132426	0	0	0	0	0	0	0	0
100132439	0	0	0	0	1	2	3	1
100132460	0	17	3	11	1	20	32	24
100132463	0	0	0	0	1	1	0	0
100132464	0	0	0	0	0	0	0	0
100132472	1	0	0	0	0	0	1	2
100132476	0	0	0	0	0	0	0	0
100132481	1	0	0	0	0	1	2	1
100132501	43	367	33	47	44	58	140	67
100132506	0	0	0	0	0	0	0	0
100132526	6	63	26	15	53	40	44	20
100132529	1	0	0	1	0	3	2	1
100132565	0	0	0	0	0	0	0	0
100132581	1	4	0	0	1	2	3	0
100132596	0	0	0	0	0	0	0	0
100132618	46	209	52	83	23	207	370	216
100132625	28	48	21	22	22	100	78	94
100132653	0	0	0	0	0	0	0	0
100132705	0	0	1	1	0	0	0	0
100132707	64	69	28	91	47	58	75	71
100132708	0	0	0	0	0	0	1	0
100132713	0	0	0	0	0	0	1	1
